word,canonical_lemma,frequency_21215,chinese_translation,source_type,nrc_category,vader_score,target_experience_object
claustrophobic,claustrophobic,16,感到幽闭恐惧压抑的,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),0.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
insane,insane,16,疯狂震撼的 / 极端的,Direct NRC Included (N=358),Fear (恐惧),-1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
annoying,annoying,15,令人烦躁恼火的（Annoyance/Irritation Emotion）,Direct NRC Included (N=358),Anger (愤怒),-1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
bubbly,bubbly,15,活泼热情的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
awed,awed,15,感到为之肃然起敬震撼的,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),0.0,1. Aerial Scenery & Nature Views (高空自然景观)
awful,awful,15,极其糟糕的,Direct NRC Included (N=358),Fear (恐惧),-2.0,"4. Booking, Price & Value (行程预订与性价比)"
fuss,fuss,15,大惊小怪 / 争吵骚动,Direct NRC Included (N=358),Sadness (悲伤),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
immaculate,immaculate,15,完美无瑕洁净的,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
respectful,respectful,15,充满敬意的,Direct NRC Included (N=358),Trust (信任),2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
unprofessional,unprofessional,15,不专业的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-2.3,"2. Pilot, Crew & Guide Service (飞行员与解说服务)"
warmth,warmth,15,温暖安心感,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
hilarious,hilarious,15,爆笑幽默搞笑的,Direct NRC Included (N=358),Joy (喜悦),1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
intrusive,intrusive,14,突兀扰人的 / 煞风景的,Direct NRC Included (N=358),Fear (恐惧),0.0,1. Aerial Scenery & Nature Views (高空自然景观)
authentic,authentic,14,地道的 / 真实无伪的,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
bothered,bothered,14,困扰的 / 烦心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
frustrating,frustrating,14,令人挫败的 / 烦人的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
glowing,glowing,14,极度赞赏口碑极佳的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
trustworthy,trustworthy,14,值得信赖靠谱的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.6,"4. Booking, Price & Value (行程预订与性价比)"
marvellous,marvellous,14,令人叹为观止的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
proud,proud,14,感到自豪骄傲的,Direct NRC Included (N=358),Joy (喜悦),2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
ruined,ruined,14,毁掉行程的 / 扫兴糟心的,Direct NRC Included (N=358),Fear (恐惧),-2.1,"4. Booking, Price & Value (行程预订与性价比)"
satisfaction,satisfaction,14,满意感,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
praise,praise,14,称赞 / 高度赞扬,Direct NRC Included (N=358),Joy (喜悦),2.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
apologetic,apologetic,13,诚恳抱歉致歉的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
precious,precious,13,弥足珍贵的 memory,Direct NRC Included (N=358),Joy (喜悦),2.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
responsible,responsible,13,负责任的,Direct NRC Included (N=358),Trust (信任),1.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
safest,safest,13,最安全平稳的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
pleasurable,pleasurable,13,令人愉快的,Direct NRC Included (N=358),Joy (喜悦),2.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
uneasy,uneasy,13,心神不宁感到不安的,Direct NRC Included (N=358),Fear (恐惧),-1.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
worldly,worldly,13,超凡脱俗的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
tricky,tricky,13,棘手不安的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-0.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
vibrant,vibrant,13,生机勃勃色彩斑斓的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
bored,bored,12,感到无聊厌烦的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
soaking,soaking,12,沉浸于（soaking in view）,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
stuffy,stuffy,12,闷热不适的（体感不适）,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
superbly,superbly,12,出类拔萃完美地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
wondrous,wondrous,12,惊叹奇妙的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
rewarding,rewarding,11,非常有成就感/物超所值的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.4,"4. Booking, Price & Value (行程预订与性价比)"
admire,admire,11,钦佩赞赏,Direct NRC Included (N=358),Trust (信任),2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
cheesy,cheesy,11,俗气的 / 劣质的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
inviting,inviting,11,引人入胜令人愉悦的,Direct NRC Included (N=358),Joy (喜悦),1.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
mad,mad,11,发怒的 / 生气的,Direct NRC Included (N=358),Fear (恐惧),-2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
nervousness,nervousness,11,紧张不安的情绪,Direct NRC Included (N=358),Fear (恐惧),-1.2,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
slick,slick,11,熟练专业/光滑的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
sketchy,sketchy,11,令人不安可疑的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
superlative,superlative,11,顶级极致赞赏的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
surprising,surprising,11,令人出乎意料惊喜的,Direct NRC Included (N=358),Surprise (惊喜),1.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
trepidation,trepidation,11,惊恐战栗 / 不安,Direct NRC Included (N=358),Fear (恐惧),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
wary,wary,11,警惕顾虑的,Direct NRC Included (N=358),Fear (恐惧),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
satisfying,satisfying,11,令人称心满意的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
jealous,jealous,10,令人羡慕嫉妒的,Direct NRC Included (N=358),Disgust (厌恶),-2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
badly,badly,10,严重地 / 糟糕地,Direct NRC Included (N=358),Sadness (悲伤),-2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
conscientious,conscientious,10,认真负责的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
ecstatic,ecstatic,10,狂喜的 / 极度兴奋的,Direct NRC Included (N=358),Joy (喜悦),2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
emotional,emotional,10,情感上的 / 动情的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
friendlier,friendlier,10,更加亲切友好的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
improvement,improvement,10,体验改善 / 提升,Direct NRC Included (N=358),Joy (喜悦),2.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
improving,improving,10,不断改善令人满意的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
wonderfull,wonderful,10,令人惊叹绝妙的 (错别字变体),Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
raving,raving,10,赞不绝口极力推荐的,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
stability,stability,10,平稳安心感,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
stunned,stunned,10,感到目瞪口呆震撼的,Direct NRC Included (N=358),Fear (恐惧),-0.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
stunningly,stunningly,10,令人震撼地,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),0.0,1. Aerial Scenery & Nature Views (高空自然景观)
unfortunate,unfortunate,10,不幸遗憾的,Direct NRC Included (N=358),Sadness (悲伤),-2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
mesmerized,mesmerized,10,被深深吸引迷住的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
quaint,quaint,10,古朴宜人的,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
effortless,effortless,9,轻松平稳的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
compliment,compliment,9,赞美 / 赞赏评价,Direct NRC Included (N=358),Joy (喜悦),2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
automatically,automatically,9,自动地 / 自然而然,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
awkward,awkward,9,尴尬的 / 别扭的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-0.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
bummer,bummer,9,令人扫兴扫兴的事,Direct NRC Included (N=358),Disgust (厌恶),-1.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
cheerfully,cheerfully,9,欢快愉悦地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
claustrophobia,claustrophobia,9,幽闭恐惧症（密闭机舱焦虑）,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),0.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
miserable,miserable,9,极度痛苦糟糕的,Direct NRC Included (N=358),Sadness (悲伤),-2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
hassles,hassles,9,烦心事 / 摩擦,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
stuffed,stuffed,9,塞满的 / 憋闷不适的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
susceptible,susceptible,9,易受影响脆弱的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
terribly,terribly,9,极度负面地 / 抱歉,Direct NRC Included (N=358),Sadness (悲伤),-2.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
unspoiled,unspoiled,9,未经破坏原始纯粹的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
exhausted,exhausted,8,精疲力竭极为疲惫的,Direct NRC Included (N=358),Sadness (悲伤),-1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
frightened,frightened,8,感到受惊吓害怕的,Direct NRC Included (N=358),Fear (恐惧),-1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
exhilaration,exhilaration,8,极度兴奋快感,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
grace,grace,8,优雅 / 良好风度,Direct NRC Included (N=358),Positive Polarity Only (仅正向),1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
dissapointed,disappointed,8,感到失望的（错别字变体）,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-2.1,"4. Booking, Price & Value (行程预订与性价比)"
cherished,cherish,8,珍视铭记的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
frustration,frustration,8,挫败感 / 烦恼,Direct NRC Included (N=358),Anger (愤怒),-2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
annoyed,annoyed,8,感到烦恼的 / 恼火的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
nerve,nerve,8,紧张神经,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
shocked,shocked,8,感到震惊惊吓的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
spoiled,spoiled,8,好心情被破坏毁掉的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
unstable,unstable,8,不稳定摇晃令人担心的,Direct NRC Included (N=358),Fear (恐惧),-1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
yummy,yummy,8,美味愉悦的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
mindful,mindful,8,细心周到的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,"2. Pilot, Crew & Guide Service (飞行员与解说服务)"
poorly,poorly,8,糟糕地 / 差劲地,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
enthusiastically,enthusiastically,7,热情高涨地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
hopeful,hopeful,7,怀抱希望的,Direct NRC Included (N=358),Joy (喜悦),2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
hesitating,hesitating,7,犹豫顾虑（心理活动）,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
gushing,gushing,7,滔滔不绝赞赞称道的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
exhilerating,exhilarating,7,令人兴奋刺激酣畅地（错别字变体）,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
captivated,captivated,7,被深深吸引着迷的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
curious,curious,7,好奇求知的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
confusion,confusion,7,困惑 / 混乱,Direct NRC Included (N=358),Fear (恐惧),-1.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
classy,classy,7,高端优雅的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
painful,painful,7,痛苦的 / 令人难受的,Direct NRC Included (N=358),Fear (恐惧),-1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
alas,alas,7,唉 / 遗憾的是,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
panic,panic,7,恐慌 / 惊恐状态,Direct NRC Included (N=358),Fear (恐惧),-2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
laughter,laughter,7,欢笑 / 笑声,Direct NRC Included (N=358),Joy (喜悦),2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
weird,weird,7,古怪令人不安的,Direct NRC Included (N=358),Disgust (厌恶),-0.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
relieved,relieved,7,宽慰的 / 松了一口气,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
strange,strange,7,怪异不安的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-0.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
ridiculous,ridiculous,7,荒谬的 / 离谱的,Direct NRC Included (N=358),Disgust (厌恶),-1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
rudely,rudely,7,粗鲁地 / 无礼地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
serenity,serenity,7,宁静 / 祥和,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
reputable,reputable,7,信誉良好的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
suffered,suffered,7,遭受身体/晕眩痛苦,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
unhappy,unhappy,7,不高兴不满意的,Direct NRC Included (N=358),Sadness (悲伤),-1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
unpleasant,unpleasant,7,令人不快令人难受的,Direct NRC Included (N=358),Sadness (悲伤),-2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
powerful,powerful,7,强烈的 / 感人的,Direct NRC Included (N=358),Joy (喜悦),1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
worrying,worry,7,令人担心的,Direct NRC Included (N=358),Fear (恐惧),-1.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
amaze,amaze,6,使惊叹 / 惊奇,Direct NRC Included (N=358),Surprise (惊喜),2.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
enthralled,enthralled,6,被深深吸引迷住的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
discouraged,discouraged,6,感到灰心气馁的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
casual,casual,6,随和轻松的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
fascinated,fascinated,6,深深入迷为之倾倒的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
broad,broad,6,宽广的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
blind,blind,6,盲目的 / 视线受阻的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),-1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
appropriately,appropriately,6,恰当地 / 贴心地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
calmer,calmer,6,更平静安心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
frightening,frightening,6,令人惊恐吓人的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
precision,precision,6,精准靠谱的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
hug,hug,6,拥抱 / 温暖关怀,Direct NRC Included (N=358),Joy (喜悦),2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
timid,timid,6,胆怯害羞的,Direct NRC Included (N=358),Fear (恐惧),-1.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
sublime,sublime,6,崇高壮丽绝美的（Aesthetic Emotion/Awe）,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),0.0,1. Aerial Scenery & Nature Views (高空自然景观)
relief,relief,6,轻松如释重负感,Direct NRC Included (N=358),Positive Polarity Only (仅正向),2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
gratitude,gratitude,6,感激 / 感恩,Direct NRC Included (N=358),Joy (喜悦),2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
jovial,jovial,6,欢快风趣的,Direct NRC Included (N=358),Joy (喜悦),1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
inspirational,inspirational,6,鼓舞人心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
reassurance,reassurance,6,令人放心的安抚感,Direct NRC Included (N=358),Trust (信任),1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
warmest,warmest,6,最暖心亲切的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
gloomy,gloomy,5,阴沉的 / 沮丧的,Direct NRC Included (N=358),Sadness (悲伤),-0.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
hates,hate,5,厌恶 / 讨厌,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
hated,hate,5,讨厌 / 极为憎恶的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-3.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
apprehension,apprehension,5,忧虑 / 疑虑不安,Direct NRC Included (N=358),Fear (恐惧),-2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
faultless,faultless,5,无可挑剔完美的,Direct NRC Included (N=358),Trust (信任),2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
envy,envy,5,羡慕 / 嫉妒,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
comforted,comforted,5,感到安慰安心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
pity,pity,5,遗憾 / 同情怜悯,Direct NRC Included (N=358),Sadness (悲伤),-1.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
jitters,jitters,5,忐忑不安 / 紧张发抖感,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),0.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
scare,scare,5,吓人 / 引发恐慌的,Direct NRC Included (N=358),Fear (恐惧),-2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
luscious,luscious,5,秀美令人心旷神怡的,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
marveled,marvel,5,惊叹赞赏的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
overwhelmingly,overwhelmingly,5,压倒性震撼地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-0.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
shock,shock,5,震惊 / 冲击,Direct NRC Included (N=358),Fear (恐惧),-1.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
stressful,stressful,5,令人压力重重焦虑的（Stress/Anxiety State）,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
suprise,surprise,5,惊喜 / 意料之外（错别字变体）,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
