word,chinese_translation,affect_type,stage_origin,frequency_2500,review_count_2500,example_context
bothered,困扰的 / 烦心的,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,review_6e1b32b84859070da88e0d06 :: Absolutely awesome!!!  My wife and I went back and forth over the cost and then we decided to just do it.  All of us loved it.  Kids had a blast.  The terminal/main building is ver...
conscious,有意识的 / 讲究的,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,review_5429f4ef0478bae9255d337b :: Alaska is absolute beauty and there is no better place to see that than with Talkeetna Air Taxi’s flightseeing Denali with glacier landing.  Words don’t describe the majestic beaut...
convinced,深信不疑的 / 心服口服,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),5,5,"review_8521974e4abf03fc17012e4e :: This experience was amazing.  By far my favorite thing we did in Alaska!  Everything was great!  I felt very safe with our pilot, and he was kind and professional.  We had a clear ..."
decent,尚可的 / 体面的,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,review_bed38cb5492cc85e5a6942a8 :: If you are in the front you get a panoramic view of the canyon but in the back you get a panoramic view of the front passengers. Its very unfair that Maverick charge the same price...
delicious,美味愉悦的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),5,5,"review_ee1e6eb8bb9bfbf0a568f295 :: We did the Grand Canyon Scenic Airlines ""Scenic Canyon River Adventure"" 12.5 hour full day tour with the entire family. The all day adventure from beginning to end was incredible. ..."
disappointing,令人失望的,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,"review_0007fe1c2b3216a8645c4245 :: After being in Alaska for about a week, we were really looking forward to our float plane ride - as we had already seen so many fly by.  We had an absolutely perfect day for flying..."
easiest,最省心的 / 最容易的,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,"review_53ff5143a41d862350d136a5 :: Having booked a week in Las Vegas over the 4th July weekend, one of our top priorities was to get to see the Grand Canyon. We originally planned on hiring a car and driving there, ..."
extraordinary,非凡的 / 卓越的,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,"review_82389ed0329e407b94318d6e :: This was our favorite experience, hands down!  Seeing the mountains that close was extraordinary and beautiful. A profound experience!..."
fears,恐惧 / 忧虑,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,"review_da9fe4b5f3a172a9954785e5 :: Myf irst time in a helicopter. I was nrevous. Our pilot, Quincy, allayed all my fears with his quiet confidence and then very obvious expertise, 
It was a truly wonderful experienc..."
gentle,平稳柔和的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),5,4,review_26d7697caed5463ed13d62a6 :: Our pilot was provided a gentle ride with incredible views. Many of the sights could not have been from the rim. He was knowledgeable about the formations and history. I would defi...
greater,更宏大震撼的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),5,5,"review_d0b50a89028b16af69ba8a3e :: The greater bay area Seaplane tour enables its passengers to get a spectacular view from the air, to see the scale and beauty of San Francisco. My family members and I thoroughly e..."
hopes,期盼 / 希望,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
humour,幽默感,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,"review_b7057b38356e6f4a373a9626 :: Apart from the last 10 minutes of yesterday we had an awesome day...my son and I both had to use sick bags just as we were coming back into Sedona! Lol
I found the tour on trip adv..."
impeccable,无可挑剔的,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,"review_98e74ad69a88380b69ce727c :: The tour guide Eric was not only friendly, knowledgeable, and patient, but also a skillful pilot. With his incredible skill, we were able to witness the sea cliff from an impeccabl..."
inspired,灵感大发 / 深受震撼的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),5,5,review_7e1965ab9e7219480bcfc869 :: My cousin and I flew to a remote lake with K2’s Beaver on floats. The weather wasn’t great at our scheduled departure time so we delayed our trip. Jen was very friendly in making s...
intrusive,突兀扰人的 / 煞风景的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),5,5,"review_3c17998e1f55e06446f35026 :: First off let me say that taking an air tour in a small airplane is much better than doing it in a helicopter. It's quieter, smoother and much less intrusive to the spirit of Mana...."
moving,令人动容感人的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),5,4,"review_3c3c26b554a263c0b5b10b29 :: All I can say is Wow!!!!  I was amazed when I viewed the canyon from the South Rim, but I was blown away from what I saw on this tour.   The majesty of the canyon is brought to the..."
nicely,很好地 / 优雅地,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
noisy,喧闹吵杂的,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,"review_c3f460d4aaa80dae038e0054 :: We are a group of 6 ladies from all over who met in Hawaii yo celebrate 2 of our 50th birthdays.
We included Kauai on our itinerary to see the Na Pali trail only to discover it has..."
picturesque,风景如画的,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,"review_b4bead6114e21d906db86f66 :: Generally had a wonderful time.  There was clearly a miscommunication with our pickup and I had to call them to see where they were, we were picked up about 30-45 min late and then..."
pleasantly,令人愉快地,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,review_683e95f01306eac2d85eff49 :: It has always been my dream to take a flight seeing tour with a glacier landing and man-oh-man did K2 deliver!  We had a gorgeous clear day to see Mt McKinley in all its glory.  K2...
reassured,感到安心的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),5,5,"review_41d65926ab60faa93ac4a301 :: We took the Grand Denali flight with glacier landing.  The entire staff in the office was friendly and helpful.  I was nervous, having never flown in such a small plane.  A nice la..."
reliable,可靠的 / 可信赖的,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,"review_9a6426dc1c3d9f04489aec57 :: We chose this company to do a flightseeing tour of Denali with glacier 
landing. They were very professsional, prompt in their responses when arranging the tour. I had no doubts as..."
remarkable,卓越令人瞩目的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),5,5,review_e7d041cefffecba964ada226 :: Thank you to all those at Talkeetna Air Taxi! I had a remarkable time. I felt very safe. I was co pilot in the landing on Mt. McKinley when we went. Great energy from the pilot. Fr...
touched,深受感动的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),5,5,review_53e4e7ec9c8062674e06d0dc :: My wife and I went on this trip with a touchdown in the rain forest. It was spectacular. Jake was our pilot and he was awesome. We had confidence in his abilities and he put our mi...
tough,严苛倒霉的,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,review_5bc1dd064ce1bf7325638ddb :: A party of 4 of us took the Grand Voyager tour in June 2008. The cost for 4 people being nearly $1300. You would expect with that sort of price that your tour would be organise pro...
tricky,棘手不安的,E1_E2_Candidate,Stage 1 (500 Discovery),5,4,"review_f1afb11c14a20df3c0e654e1 :: All I can say is GO. And K2 is the company to GO with.
That's our experience. And what an experience it was...

If you have the means and the wherewithall to
afford this trip, it i..."
trouble,麻烦 / 困扰,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,review_082e1f27aa3bb895882c5db8 :: I wanted to do something special for my girlfriend's birthday. I've been to Kauai a couple of times but she has not. What better way to see an island for the first time than seeing...
unexpected,意想不到的惊喜,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,"review_8f5e0f00afe0371683965f83 :: I've never taken a small plane tour before so I didn't know what to expect, but it was a fantastic way to see the island and it wasn't scary at all!  I popped a Dramamine an hour b..."
upfront,直率透明的,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,"review_bbf12aaf52ffd1f8f514701a :: This was the experience of a lifetime. By nature of their business, weather can play a role in their ability to provide their service. K2 was phenomenal at staying in communication..."
amazement,惊叹 / 惊奇,E1_E2_Candidate,Stage 1 (500 Discovery),4,4,review_50087c058cc38daa21b82926 :: We took this flight combined with “The Original Grand Canyon Jeep and Safari Tour.”  No words can appropriately describe this awe inspiring experience.  At one time I found myself ...
beautifully,优美地 / 出色地,E1_E2_Candidate,Stage 1 (500 Discovery),4,4,"review_a49c3b4b417661efc807e243 :: Well, there really is a reason that this is rated number 1 for attractions and activities...there really is no downside.  Firstly, making a reservation by phone or online via their..."
charming,迷人讨喜的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),4,4,"review_2437be8aa60056f18e560577 :: Our flight over Kaua'i with our charming, skillful pilot was the best experience of our island vacation. She gave a most interesting and helpful account of what we could see below,..."
delighted,高高兴兴的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),4,4,review_50d0c427181c796477638983 :: Must do!  There were three retired couples in our group and the plane was the perfect size.  Viewed all the highlights of the island with an excellent pilot who provided an interes...
educational,富有教育启发意义的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),4,4,"review_8a2e45237fce19ebec74d4f5 :: We HIGHLY RECOMMEND Wings Over Kauai! Starting with the reservation and emails with Ellen through the actual flight, our experience with Brue and Ellen was like none other! Bruce i..."
fuss,大惊小怪 / 争吵骚动,E1_E2_Candidate,Stage 1 (500 Discovery),4,4,review_07b74d25ca8cca39cb34a0be :: I did this excursion today on 06/20/2013 and I had a bad experience on this ride which I would like to share especially from the pilot of of our float plane.  First of all he tried...
hoping,期盼 / 希望,E1_E2_Candidate,Stage 1 (500 Discovery),4,4,"review_fa5c178f0540c8c621211eb6 :: My daughter and I had a great experience with our flight with Chad. He made sure that we are very comfortable during the flight, views that we saw from the plane were amazing and e..."
nauseous,恶心晕车的,E1_E2_Candidate,Stage 1 (500 Discovery),4,4,review_351247b5823eb714bd001af5 :: Super fun. Beautiful sights. No bears seen though a different group saw. Half way both us got nauseous. Take dramamine. Other than that it was great....
nicer,更美好/更亲切的,E1_E2_Candidate,Stage 1 (500 Discovery),4,4,"review_0f50928b644eab8e69fd4905 :: I need to reschedule the flight for 3 times because of Glacier Landing. When I asked a front desk person, when was the last glacier landing, she did not able to answer me which is ..."
nicest,最美好的 / 最亲切的,E1_E2_Candidate,Stage 1 (500 Discovery),4,4,review_3be86b281748fcad0f0f0b34 :: This is a bucket lister for sure. We called one day ahead and made the reservation with ease. I must say the young men who answered the phone had some of the nicest manners I have ...
ominous,不详的 / 不妙的,E1_E2_Candidate,Stage 1 (500 Discovery),4,3,"review_f1afb11c14a20df3c0e654e1 :: All I can say is GO. And K2 is the company to GO with.
That's our experience. And what an experience it was...

If you have the means and the wherewithall to
afford this trip, it i..."
privilege,荣幸 / 难得体验,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),4,4,"review_48861d1a4276178379e27007 :: We had the privilege of doing the Grand Canyon West Rim Adventure Tours.  We will never forget this AMAZING experience!!!  From the welcoming staff to  the incredible views, this i..."
regrets,遗憾 / 后悔,E1_E2_Candidate,Stage 1 (500 Discovery),4,4,"review_bbf12aaf52ffd1f8f514701a :: This was the experience of a lifetime. By nature of their business, weather can play a role in their ability to provide their service. K2 was phenomenal at staying in communication..."
rewarded,得到赏心悦目的回报,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),4,4,"review_8cbe628c5c47e65c0e97f867 :: We stayed in Talkeetna for two nights, planning on a flight seeing on our first day there. We were scheduled for the first morning flight. The morning was very overcast and the fli..."
sad,悲伤的 / 遗憾痛心的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),4,4,review_641866daade55fe429557808 :: Unfortunately Denali was socked in with weather. Also the glaciers had degraded to the point of no landings. We were very sad. K2 offered us an option to Knik. It was UNBELIEVABLE!...
security,安全感 / 心理保障,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),4,3,"review_c4e918eedbed49349a333a93 :: This is expensive, but worth every penny. If you visit the Grand Canyon and can afford it, we recommend you do it. For us it was one, if not the, highlight on our extended US trip ..."
splurge,挥霍犒赏自己（特别体验）,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),4,4,"review_eda1a4bce0aac45015172f03 :: We heard so much about how beautiful Kauai was, but after driving around the entire island, we weren't that impressed. Mind you, we had just seen all the major sights of Maui, so w..."
stellar,璀璨顶尖级的,E1_E2_Candidate,Stage 1 (500 Discovery),4,3,review_45b67bfe46ceac2e8567f12e :: I have flown with them twice- very professional and a stellar view of the canyon. I will say though a lot depends on your pilot. My first trip was exciting and the pilot had great ...
stuck,卡住被困的（焦虑）,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),4,4,"review_6df5ede0e4f38741f16273cc :: A fantastic flyover of the island.  A beautiful land with mountains, waterfalls, plantations, golf courses and the Napali Coast.  JT, the pilot was excellent and provided insight t..."
sudden,突然的 / 猝不及防的,E1_E2_Candidate,Stage 1 (500 Discovery),4,4,"review_f1afb11c14a20df3c0e654e1 :: All I can say is GO. And K2 is the company to GO with.
That's our experience. And what an experience it was...

If you have the means and the wherewithall to
afford this trip, it i..."
suffer,遭受痛苦/晕机,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),4,4,review_5b5f5f21f1453f7f0c8229bf :: We did Wings Over Kauai on our first day on the island.  Bruce was an excellent pilot and shared lots of interesting information about Kauai.  The clouds passing over allowing the ...
talkative,健谈热情的,E1_E2_Candidate,Stage 1 (500 Discovery),4,4,review_46247e5fecb1a54a289ccadb :: Pilot not very talkative but the view was spectacular. Would recommend if you want to see the beauty of Alaska....
thoughtful,贴心周到的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),4,4,review_afe3c66ee7b7c941929e9cfa :: In June 2010 4 of us took the Grand Denali Tour.  Booking this tour on our own separate from the cruise line was a bit tricky but saved us a great deal.  Elaine from K2 was most pl...
turbulent,颠簸不安的,E1_E2_Candidate,Stage 1 (500 Discovery),4,3,"review_fe616bc09c7b1a7ab721c000 :: This was definitely the highlight of our trip to Kauai. The majority of the island is not navigable by land, so your only option is a boat tour or air tour. We didn't go on a boat ..."
unsafe,感觉不安全的 / 担惊受怕的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),4,4,review_9fa767c0524e34fd96ef3ff4 :: Not a typical I loved it review. But I was very impressed with K2 and the way they run their business. We were booked for a glacier landing tour today but unfortunately the weather...
witty,风趣幽默的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),4,4,"review_85b8dedf61096ea65b0cf853 :: We took our six children on this flight, and Dan was not just a good pilot. He was knowledgeable, had a witty personality, and educated us a lot about the landscapes, logging, and ..."
wonderfully,极其出色绝妙地,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),4,4,"review_4a7f3da7f6659561289690b5 :: Although we had to re-schedule our original reservation because of constant rainfall after having driven an hour to the destination, we were accommodated with a different date and ..."
adventurous,充满冒险刺激感的,E1_E2_Polysemous (State & Appraisal),Stage 2 (2000 Expansion),3,3,review_433ee9cdb612a1be49d51792 :: Wow! A must do when you are even near the Miami area. I moved to Miami in 1984 and I now live about 90 miles north of Miami. This is a must do and do yourself a favor and take the ...
anxious,焦虑不安的 / 挂虑的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),3,3,"review_74168f066a91714dc278f85e :: Amazing views of Denali- we were fortunate to have a clear day. Leighan, our pilot, was amazing. The flight was smooth, landing on the glacier was awe-inspiring, and her commentary..."
astonishing,令人惊叹的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),3,3,"review_7bbe5f17c5ccf78fd605ad3d :: From the front reception area to preparing for take off to our amazing pilot from the Arctic, this tour was astonishing. We were blessed with a beautiful sunny day with big white p..."
authentic,地道的 / 真实无伪的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_a8e08d3e333554d846e6a0c3 :: If you have never experienced flying in an authentic, historic float plane (sea plane) then you should not miss this trip out to the misty fjords. Flying over the enormous Tangass ..."
awful,极其糟糕的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
bang,物超所值（bang for buck）,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_da8299d8fba78458a1318905 :: We did the Tour Adventure (this company provides a wide variety of Grand Canyon tours-- you have a lot of options depending on how much time and money you want to spend. However, I..."
basic,基础的 / 简陋的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_5e434da02b38cf19550a807e :: There are a few things that set this trip apart for us;
1.) Our pilot, Chris, gave us one of the smoothest flights I have ever been on (sorry Delta).  I wasn't necessarily expectin..."
bubbly,活泼热情的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_bea011d24dcf4997edde8188 :: Great views to give you an overall impression of the island without trying to drive/hike everywhere! Our pilot ""Piper"" was an amazing lady - bubbly,informative, wrote down some tur..."
cherish,珍视 / 珍惜铭记,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),3,3,"review_20bafb242eb918bb14d9309d :: We really enjoyed our tour! Staff were very friendly and our pilot, Doug, provided us with a safe, interesting and enjoyable flight. We would definitely recommend Wings Over Kauai...."
cloudless,万里无云的（晴朗美感）,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,review_2a211e66566d9506094042c7 :: My family of 5 ranging in ages of 18 to 73 embarked on this amazing flight in March 2022.  I admit I was a bit nervous as flying can bring anxiety sometimes but Billy - our pilot w...
comfy,舒适惬意的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_54ae5b5d8364deffe47809c6 :: My husband and children (18,19) had a great time on this trip!  The early morning plane ride was terrific, and as we had read before, it’s best to sit on the left side of the plane..."
discomfort,身体/心理不适感,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),3,3,review_b3611bb117be728e25d5ddec :: We had booked the 11 am tour online even before we reached Kauai. We called ahead and the person who answered told us we could come by 10:45 am or so. We reached round about then o...
economical,划算实惠的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,review_dd13be75c4e20e2ce06840f8 :: We did the private 2 person Pali Mist Air tour and it was fantastic.  The best thing we did on our trip was to book this tour.  Bruce and Val are amazing.  Bruce was a wonderful pi...
ecstatic,狂喜的 / 极度兴奋的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,review_7b76705a2666fc9f007a68b5 :: We booked with Talkeetna Air Taxi based on the recommendation of our tour agent Colette of Rainbow Mountain Adventures and we were amazed.  This experience was not only the highlig...
emotional,情感上的 / 动情的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_5d1ed7c73f280b31c37e8a26 :: We did the Base Camp McKinley tour with a landing on Eldridge Glacier on 8/16/11, and it was incredible! It was the highlight of our trip, and a highlight of a lifetime. The day we..."
enjoyment,乐趣 / 享受,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,review_794213f1ad4da1e5287e8990 :: I chose Wings Over Kauai for Flight instruction and a tour of the island with Captain Bruce.  The first thing I noticed was Bruce's professionalism and smooth flying of the Cessna....
enthusiasm,热情 / 积极性,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_9a6426dc1c3d9f04489aec57 :: We chose this company to do a flightseeing tour of Denali with glacier 
landing. They were very professsional, prompt in their responses when arranging the tour. I had no doubts as..."
exquisite,精美的 / 绝妙的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,review_99803732bf820023c1852422 :: What a great experience and wonderful way to see Kauai!  The ride was relaxing with exquisite views with highlights pointed out along the route by the pilot.  All this at a lower c...
favourite,最喜爱的,E1_E2_Candidate,Stage 1 (500 Discovery),3,2,"review_b7057b38356e6f4a373a9626 :: Apart from the last 10 minutes of yesterday we had an awesome day...my son and I both had to use sick bags just as we were coming back into Sedona! Lol
I found the tour on trip adv..."
friendlier,更加亲切友好的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),3,3,review_0b5b314e6afb25f8dff5666d :: We had only one day in Kauai while visiting the islands on a cruise.  I had read these reviews and so booked the flight for our group of 4.  I am so glad I did!  They could not be ...
frustrating,令人挫败的 / 烦人的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,review_bed38cb5492cc85e5a6942a8 :: If you are in the front you get a panoramic view of the canyon but in the back you get a panoramic view of the front passengers. Its very unfair that Maverick charge the same price...
handy,实用的 / 贴心的,E1_E2_Candidate,Stage 1 (500 Discovery),3,2,review_e55f985b9a9c0b8f6f16b85a :: Really great flight with views of humpback one way and mountains the other. Ex navy pilot so in good hands. The bear watching was a short 10 min walk through the rain forest with M...
hassles,烦心事 / 摩擦,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_442bd14270e4cf874af0ab43 :: Last year, Taquan (pilot Dave and guide Mark Phillips) did an excellent job at getting us to Anan Creek.  However, due to our ship's limited time in port last year, along with poor..."
humorous,幽默风趣的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_f63c57ac2ae27b8085da9201 :: Our family of 5 thoroughly enjoyed the Adventure trip.  The trip itself is amazing and spectacular, something to truly be seen in person; pictures don't capture the scale of the ca..."
immaculate,完美无瑕洁净的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),3,3,review_946bb8d70631840517ffae88 :: It was amazing!! Highly recommend! The views were immaculate & the pilot was so knowledgeable! Would go again!...
improvement,体验改善 / 提升,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),3,3,"review_6b4f55a23869141d6e9fcb5b :: We are long time Alaskans and have viewed Denali from the air as well as the road system on several occasions.  Our K2 Aviation flightseeing trip topped them all. 

The phone reser..."
inclement,恶劣的气候,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_bbf12aaf52ffd1f8f514701a :: This was the experience of a lifetime. By nature of their business, weather can play a role in their ability to provide their service. K2 was phenomenal at staying in communication..."
insane,疯狂震撼的 / 极端的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,review_5bc1dd064ce1bf7325638ddb :: A party of 4 of us took the Grand Voyager tour in June 2008. The cost for 4 people being nearly $1300. You would expect with that sort of price that your tour would be organise pro...
keen,热情的 / 敏锐的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_e83a9bc682b158918ad0f243 :: Take the little Cessna, ask Bruce for the right seat, have your partner sit in the back (very comfortable and windows on both sides), and do a mixture of a tour, sightseeing and fl..."
lasting,持久的 / 深刻的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_a8e08d3e333554d846e6a0c3 :: If you have never experienced flying in an authentic, historic float plane (sea plane) then you should not miss this trip out to the misty fjords. Flying over the enormous Tangass ..."
laughing,欢声笑语 / 开心大笑,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),3,3,"review_297816c223f0885e99c4fc19 :: For a first timer, nothing tops a fly over the spectacular sights of this island. And AirVenture did it best thanks to their exceptional ground and air staff. Our pilot Eric, who c..."
lush,郁郁葱葱宜人的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),3,3,"review_1893bdcfa0517b11567fd56d :: I booked the Cessna tour for my wife and I on our babymoon in April. I recommend the private Cessna tour if you only have 2 people.  For only slightly more $$, you get a personal e..."
mad,发怒的 / 生气的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_e7eff18ff9d70537c7037589 :: At first i was a little mad, we had a tour booked at 10am and the pilot showed up late
But then everything went great, he was very polite, and super fun
We had a blast!!!
But waaaa..."
mild,轻微适度的（颠簸/舒适）,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),3,3,"review_5fe403d9e2633bea2fb1bc97 :: How often do you get a chance to fly in an open cockpit biplane? Our pilot, Harry, was friendly and very experienced. The plane is quite new, and in great shape, the intercom syste..."
mood,心情 / 情绪,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_82386bb91c344ca8b5ec8dd0 :: From the first moment Tony put us in a relaxed mood 
After introduction and seating in the plane we took off across the water for a very visible and knowledgeable journey to Evergl..."
pleasurable,令人愉快的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_0d83a2c8c71d477e19742e49 :: Great tour and really gives you the whole perspective and views of the rugged terrain you can get no other way. Looking down on the water falls, flying in and out of the deep canyo..."
ridiculous,荒谬的 / 离谱的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,review_a158a996fb85a211763435ea :: The flight itself is really scenic. I liked that we landed in the water about halfway through and could walk out on the sides of the plane to take in the view. Pilot was good but d...
safest,最安全平稳的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),3,3,"review_fe566c581798d89f19f642e5 :: My husband and I were rained or otherwise ""bad-weathered"" out of every adventure we planned on Kauai.  Couldn't hike Kalalau due to the river crossing being flooded. 
Couldn't kaya..."
sensational,绝佳轰动震撼的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),3,3,"review_69b44dac34b50350cfb373aa :: Steve, our pilot was sensational.   We were greeted by name, promptness, and courtesy.  They took our bags and explained the flight procedure.   Steve pointed out areas of interest..."
shame,遗憾 / 可惜扫兴,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),3,3,"review_d5b09587168814a8a6cba02a :: Planned a ride for my son's 12th birthday in April. I am a bit late getting around to writing my review and have since forgotten our pilots name, which is a shame because he was WO..."
sketchy,令人不安可疑的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,review_300f9baf05912fc8f616fd90 :: We booked the private tour at 5:30. We got there at 4:45. (Booking says to get there 30 mins earlier.) When you get to the destination they have no office. They just get fuel from ...
spiritual,精神神圣的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_5d1ed7c73f280b31c37e8a26 :: We did the Base Camp McKinley tour with a landing on Eldridge Glacier on 8/16/11, and it was incredible! It was the highlight of our trip, and a highlight of a lifetime. The day we..."
stuffy,闷热不适的（体感不适）,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_53ff5143a41d862350d136a5 :: Having booked a week in Las Vegas over the 4th July weekend, one of our top priorities was to get to see the Grand Canyon. We originally planned on hiring a car and driving there, ..."
stunningly,令人震撼地,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_82386bb91c344ca8b5ec8dd0 :: From the first moment Tony put us in a relaxed mood 
After introduction and seating in the plane we took off across the water for a very visible and knowledgeable journey to Evergl..."
superbly,出类拔萃完美地,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),3,3,"review_bcedc98e43ad7edec05befa8 :: There isn't much to say here, except the experience was fantastic. Seeing the landscape from the air was breathtaking, and landing and taking off from the glacier was a hoot. Our p..."
tranquility,宁静 / 平和,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,review_8b4c172e7b644d8c4b931cc0 :: We got of our cruise ship early and were able to purchase our trip from one of the operators at the end of the dock.  Apparently they sell what the cruise lines have been unable to...
unbeatable,无可比拟的 / 无敌的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_8a2e45237fce19ebec74d4f5 :: We HIGHLY RECOMMEND Wings Over Kauai! Starting with the reservation and emails with Ellen through the actual flight, our experience with Brue and Ellen was like none other! Bruce i..."
unfair,不公平的 / 冤枉的,E1_E2_Candidate,Stage 1 (500 Discovery),3,2,review_bed38cb5492cc85e5a6942a8 :: If you are in the front you get a panoramic view of the canyon but in the back you get a panoramic view of the front passengers. Its very unfair that Maverick charge the same price...
valuable,珍贵的 / 有价值的,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,review_3e1abc7ed002a345eb9524ce :: We had a good experience. It could have been more informational and valuable if our pilot was more interactive....
wildest,最疯狂的（狂想）,E1_E2_Candidate,Stage 1 (500 Discovery),3,3,"review_83fe4d7e7dc015a14d52be74 :: The entire experience was beyond our wildest expectations.  Stan, the pilot, and the K2 office staff were very kind and helpful.  The flight scenery is hard to convey with words......"
